SMILES,Affinity_kcal
O=C(O)c1ccc[n+]([C@H]2O[C@@H](CO[P@@](=O)([O-])O)[C@@H](O)[C@@H]2O)c1,-8.91
O=C(Sc1ccccc1)c1ccc2ccccc2c1,-8.91
CCCCCCCCCCCC(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-8.9
CCCCN(CCCC)C/C(S)=N/c1c(C)cc(C)cc1C,-8.9
CCCCNc1c2c(nc3ccc(C)cc13)CCCC2,-8.9
CCCC[C@]1(Cc2ccccc2)C(=O)N=C(S)NC1=O,-8.89
Cc1ccc(OCC(=O)O)c(C(=O)Nc2cccc(C(F)(F)F)c2)c1,-8.86
Clc1ccc2c(c1)oc1c(Cl)c(Cl)c(Cl)c(Cl)c12,-8.86
CN(C)c1ccc(OCCCOc2ccc(N(C)C)cc2)cc1,-8.86
CN1C(=O)CN=C(C2CCCCC2)c2cc(Cl)ccc21,-8.86
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-8.85
COc1cccc(-c2ncn(-c3ccccc3C=O)n2)c1,-8.85
O=Nc1ccc(NNC(=O)c2ccccc2)c(=O)cc1,-8.85
CN(C)c1ccc(C=C2C(=O)N=C(S)NC2=O)cc1,-8.84
Cn1c(CC(=O)c2cccnc2)nc2ccccc2c1=O,-8.83
CCCON=C(C)c1ccc(-c2ccc(C)cc2)s1,-8.81
CCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1,-8.8
CC(=O)N(O)c1ccc(-c2ccccc2C)cc1C,-8.79
O=C(Cc1ccccc1)Nc1ccc([N+](=O)[O-])cc1,-8.79
[H]/N=C1\CC/C(=N\[H])c2c1c(O)c1ccccc1c2O,-8.77
COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,-8.77
Clc1ccc(C(Br)=C(c2ccccc2)c2ccccc2)cc1,-8.75
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,-8.75
Cc1cc(C)c2c(ccc3cc(C)cc(C)c32)c1,-8.74
Cc1cccc(C)c1NC(=O)OC[C@H]1CCCN(C)C1,-8.74
Nc1ccc([C@H]2CC[C@H](c3ccc(N)cc3)CC2)cc1,-8.73
O=C(O)c1ccccc1SSc1ccc(Cl)cc1,-8.73
CN(C)C[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1c1ccccc1,-8.72
C[C@@H]1CCCCN1CCCOC(=O)c1ccccc1O,-8.71
NC(N)=NCCCOC(=O)c1ccc([N+](=O)[O-])cc1,-8.71
NCCS(=O)(=O)NS(=O)(=O)c1ccc(N)cc1,-8.71
O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,-8.71
O=C(Nc1ccccc1)c1ccccc1OCc1nnc(S)o1,-8.71
